"sensanaly","ID","scenario","region","soiltype","initdenres_collapsed","ww_mean","ww_ci_l","ww_ci_u","pc_mean","pc_ci_l","pc_ci_u"
"upper","MIT_upper","MIT","east","medium","HD-HR",2.10581478593308,-0.521457734105665,4.73308730597183,-1.21367757957926,-4.97118769455152,2.54383253539301
"lower","MIT_lower","MIT","east","light","LD-LR",4.14490268217006,1.55898402266809,6.73082134167202,0.110902703728366,-4.23862276397493,4.46042817143166
"upper","MIT_upper","MIT","east","light","LD-LR",3.89324971786379,1.46702432746818,6.31947510825939,0.161508853424772,-3.80505059877226,4.12806830562181
"lower","MIT_lower","MIT","east","light","LD-HR",3.32160225846365,0.410061860957554,6.23314265596976,-0.644854754971405,-5.52127151019862,4.23156200025581
"upper","MIT_upper","MIT","east","light","LD-HR",3.0777911823004,0.372640103121439,5.78294226147937,-0.044512511900845,-3.99998846997973,3.91096344617804
"lower","MIT_lower","MIT","east","light","HD-HR",2.03207740731496,-0.493227014599842,4.55738182922977,-1.86875530853254,-6.81542868746375,3.07791807039867
"upper","MIT_upper","MIT","east","light","HD-HR",1.8617775079552,-0.451085478020262,4.17464049393066,-0.783566079690722,-4.74637572846585,3.17924356908441
"lower","CWW_lower","CWW","north","heavy","LD-LR",7.88540075824169,7.41480932999698,8.35599218648641,2.32653320798007,-0.985209440504834,5.63827585646498
"upper","CWW_upper","CWW","north","heavy","LD-LR",7.04890723405364,6.25865515250979,7.83915931559749,2.11092142573734,-0.686373547079706,4.90821639855439
"lower","CWW_lower","CWW","north","heavy","LD-HR",7.66656519088104,7.08689878186093,8.24623159990114,2.23563943830564,-0.949793314395674,5.42107219100696
"upper","CWW_upper","CWW","north","heavy","LD-HR",5.51999256233798,4.04710407986847,6.99288104480749,1.50794824913092,-0.483009626695971,3.49890612495782
"lower","CWW_lower","CWW","north","heavy","HD-HR",7.55772649507776,7.06765749181045,8.04779549834506,2.2066924442317,-0.965238769636429,5.37862365809983
"upper","CWW_upper","CWW","north","heavy","HD-HR",4.75435981057514,4.05484672577275,5.45387289537754,1.31024658796028,-0.624755060525564,3.24524823644613
"lower","CWW_lower","CWW","north","medium","LD-LR",7.00838573519201,6.60200604983525,7.41476542054877,2.0681736144705,-0.880445212804417,5.01679244174542
"upper","CWW_upper","CWW","north","medium","LD-LR",6.473786764309,5.88006419226745,7.06750933635055,1.93655813391768,-0.680097590662311,4.55321385849767
"lower","CWW_lower","CWW","north","medium","LD-HR",6.85901573168644,6.37678065800644,7.34125080536643,2.00578436554335,-0.855737724193271,4.86730645527997
"upper","CWW_upper","CWW","north","medium","LD-HR",5.25325799519212,4.1009031521247,6.40561283825955,1.4697789186758,-0.493385244125254,3.43294308147685
"lower","CWW_lower","CWW","north","medium","HD-HR",6.76945616928028,6.36438895240424,7.17452338615632,1.97627055229202,-0.879232942504829,4.83177404708887
