"imp","ID","scenario","initdenres","initcondit","region","soiltype","year","crop","wtd_yield","ww_yield","wtd_prod_cost_ww"
15,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.95072539037155,6.95072539037155,0
16,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.91600675172383,6.91600675172383,0
17,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.24164708104834,7.24164708104834,0
18,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.20148703176149,7.20148703176149,0
19,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.04595982210669,7.04595982210669,0
20,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.87806599929829,6.87806599929829,0
21,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.03321757310135,7.03321757310135,0
22,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.1865691845667,7.1865691845667,0
23,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.07819965731504,7.07819965731504,0
24,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.18375211790434,7.18375211790434,0
25,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.22770980762013,7.22770980762013,0
26,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.22887691329188,7.22887691329188,0
27,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.1857522412511,7.1857522412511,0
28,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",6.90794186079746,6.90794186079746,0
29,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.21464878216269,7.21464878216269,0
30,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.20357383150232,7.20357383150232,0
31,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.06903749106116,7.06903749106116,0
32,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.29622799569144,7.29622799569144,0
33,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.11456017863908,7.11456017863908,0
34,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.16452083346835,7.16452083346835,0
35,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.23907043736733,7.23907043736733,0
36,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.2816350483744,7.2816350483744,0
37,"BAU_n_h_VD-HR_5","BAU","VD-HR","n_h_VD-HR","north","heavy",5,"winterwheat",7.07305209926916,7.07305209926916,0
1,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
2,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
3,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
4,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
5,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
6,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
7,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
8,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
9,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
10,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
11,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
12,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
13,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
14,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
15,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
16,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
17,"BAU_n_h_VD-HR_6","BAU","VD-HR","n_h_VD-HR","north","heavy",6,"wosr",3.35,0,0
